,formula_unedited,formula,space group,target
194,Li0.33La0.5TiO3,Li0.33La0.5TiO3,123.0,-3.0
195,Li0.27La0.57TiO3,Li0.27La0.57TiO3,123.0,-3.4685210829577446
202,Li0.31La0.63TiO3,Li0.31La0.63TiO3,123.0,-3.3861581781239307
203,Li0.39La0.59TiO3,Li0.39La0.59TiO3,123.0,-3.0540392964224314
204,Li0.49La0.55TiO3,Li0.49La0.55TiO3,123.0,-3.027334407733889
205,Li0.68La0.49TiO3,Li0.68La0.49TiO3,123.0,-2.9871627752948275
207,Li0.33La0.58TiO3,Li0.33La0.58TiO3,123.0,-3.0491485411114536
208,Li0.36La0.55TiO3,Li0.36La0.55TiO3,123.0,-3.0296531237699065
209,Li0.42La0.52TiO3,Li0.42La0.52TiO3,123.0,-3.0721165896692932
210,Li0.29La0.57TiO3,Li0.29La0.57TiO3,123.0,-4.356547323513813
217,La0.65Li0.05(Mg0.5W0.5)O3,La0.65Li0.05Mg0.5W0.5O3,129.0,-6.7447274948966935
218,La0.63Li0.11(Mg0.5W0.5)O3,La0.63Li0.11Mg0.5W0.5O3,129.0,-5.167491087293763
219,La0.62 Li0.14(Mg0.5W0.5)O3,La0.62Li0.14Mg0.5W0.5O3,129.0,-4.920818753952375
220,Li4PS4I,Li4PS4I,129.0,-3.9208187539523753
221,Li9.75Sn0.75P2.25S12,Li9.75Sn0.75P2.25S12,137.0,-2.447331783887807
222,Li6ZnO4,Li6ZnO4,137.0,-8.0268721464003
223,Li9.42Si1.02P2.1S9.96O2.04,Li9.42Si1.02P2.1S9.96O2.04,137.0,-3.958607314841775
224,Li9.54Si1.74P1.44S11.7Cl0.3,Li9.54Si1.74P1.44S11.7Cl0.3,137.0,-1.596879478824182
